N,m,alpha_index,alpha,replications,batch,seed,fdr,mcse,ci95_lower,ci95_upper,rejection_probability,rejection_probability_mcse,mean_fixed_point_iterations,maximum_fixed_point_iterations
50,8350,70,0.071,100000,20000,25815301,0.07226880617397272,0.00034029888464678275,0.07160183261608587,0.07293577973185957,0.96945,0.0005442122517915227,5.53703,36
50,8350,71,0.072,100000,20000,25823220,0.07354197104134708,0.00034448319621663374,0.07286679638348323,0.07421714569921092,0.96818,0.0005550449315145573,5.55803,43
50,8350,72,0.073,100000,20000,25831139,0.07524727611634185,0.00035320262424158453,0.07455501169358332,0.07593954053910039,0.96934,0.0005451602003081298,5.57982,40
50,8350,73,0.074,100000,20000,25839058,0.07509440403182464,0.0003427628102202757,0.07442260126855317,0.07576620679509612,0.96935,0.0005450741004670829,5.59125,43
50,8350,74,0.075,100000,20000,25846977,0.07618576395462584,0.00034160004907511166,0.07551624016132151,0.07685528774793017,0.97076,0.0005327759604186364,5.60241,36
50,8350,75,0.076,100000,20000,25854896,0.07747425360450283,0.0003492367361647519,0.0767897621795416,0.07815874502946406,0.97143,0.0005268183282688633,5.62058,38
50,8350,76,0.077,100000,20000,25862815,0.07913343135710561,0.0003571129495208933,0.07843350283763179,0.07983335987657944,0.97165,0.0005248454772597358,5.63804,38
50,8350,77,0.078,100000,20000,25870734,0.07960486812462483,0.00035156238247316325,0.07891581851665834,0.08029391773259133,0.97238,0.0005182387056174015,5.65574,40
50,8350,78,0.079,100000,20000,25878653,0.08061071807940359,0.0003544869673171056,0.07991593639047324,0.08130549976833394,0.97167,0.0005246657135738904,5.67916,39
50,8350,79,0.08,100000,20000,25886572,0.08147369556935044,0.0003536045812540077,0.08078064332532423,0.08216674781337666,0.97344,0.0005084738577350858,5.69384,39
50,8350,80,0.081,100000,20000,25894491,0.08246703248061858,0.0003528587105335994,0.08177544211634148,0.08315862284489568,0.97408,0.000502475408353484,5.69712,43
50,8350,81,0.082,100000,20000,25902410,0.08316033153166925,0.00035369949968956676,0.08246709325092787,0.08385356981241064,0.9733,0.0005097755388403797,5.7226,36
50,8350,82,0.083,100000,20000,25910329,0.08482983880844469,0.0003599832064280693,0.08412428468880642,0.08553539292808296,0.97384,0.0005047341319942605,5.75163,37
50,8350,83,0.084,100000,20000,25918248,0.08546137661691071,0.00035534651219512354,0.08476491025097635,0.08615784298284507,0.97405,0.0005027583664147224,5.76666,38
50,8350,84,0.085,100000,20000,25926167,0.08646372945794985,0.00035873552272681404,0.08576062075343015,0.08716683816246955,0.9753,0.0004908147308302803,5.77628,40
50,8350,85,0.086,100000,20000,25934086,0.08752893070223981,0.0003590517951769929,0.08682520211510845,0.08823265928937117,0.9751,0.0004927472983183169,5.78874,39
50,8350,86,0.087,100000,20000,25942005,0.08920932949580171,0.0003676433963004078,0.08848876167989893,0.08992989731170449,0.97587,0.00048526016836332225,5.80995,44
