alpha,first_crossing_bound,excess,quadrature_error_estimate,jump_z,tangency_c,function_evaluations
0.130,0.134534445459888,+0.004534445459888,2.724e-11,-1.875740682022871,3.274848903991212,462
0.131,0.135471630910689,+0.004471630910689,2.681e-11,-1.879217131370948,3.271392416536719,462
0.132,0.136407631366223,+0.004407631366223,2.649e-11,-1.882687559018944,3.267946753921675,462
0.133,0.137342452560915,+0.004342452560915,2.619e-11,-1.886152294159492,3.264511640458880,462
0.134,0.138276100259056,+0.004276100259056,2.584e-11,-1.889611663164117,3.261086795602352,462
0.135,0.139208580258604,+0.004208580258604,2.536e-11,-1.893065989777869,3.257671959300179,462
0.136,0.140139898394941,+0.004139898394941,2.468e-11,-1.896515595322233,3.254266858083851,462
0.137,0.141070060544817,+0.004070060544817,2.380e-11,-1.899960798879440,3.250871240940599,462
0.138,0.141999072630230,+0.003999072630230,2.270e-11,-1.903401917488039,3.247484848176576,462
0.139,0.142926940622438,+0.003926940622438,2.145e-11,-1.906839266328935,3.244107431937866,462
0.140,0.143853670546002,+0.003853670546002,2.011e-11,-1.910273158910641,3.240738737765704,462
0.141,0.144779268482927,+0.003779268482927,1.880e-11,-1.913703907249254,3.237378531054074,462
0.142,0.145703740576784,+0.003703740576784,1.770e-11,-1.917131822056119,3.234026565987216,462
0.143,0.146627093036994,+0.003627093036994,1.720e-11,-1.920557212911366,3.230682613677875,462
0.144,0.147549332143073,+0.003549332143073,1.691e-11,-1.923980388448516,3.227346437503734,462
0.145,0.148470464248995,+0.003470464248995,1.670e-11,-1.927401656530371,3.224017812078623,462
0.146,0.149390495787632,+0.003390495787632,2.058e-10,-1.930821324424544,3.220696508672751,420
0.147,0.150309433275116,+0.003309433275116,1.155e-10,-1.934239698986168,3.217382309864810,420
0.148,0.151227283315445,+0.003227283315445,2.090e-11,-1.937657086831862,3.214074994423437,420
0.149,0.152144052605012,+0.003144052605012,1.141e-10,-1.941073794516066,3.210774351257424,420
0.150,0.153059747937187,+0.003059747937187,2.238e-10,-1.944490128713103,3.207480163610477,420
0.151,0.153974376206961,+0.002974376206961,1.114e-11,-1.947906396394524,3.204192224939066,462
0.152,0.154887944415704,+0.002887944415704,9.716e-12,-1.951322905007644,3.200910330926401,462
0.153,0.155800459675766,+0.002800459675766,8.254e-12,-1.954739962660101,3.197634275732139,462
0.154,0.156711929215282,+0.002711929215282,6.881e-12,-1.958157878302313,3.194363858382654,462
0.155,0.157622360382942,+0.002622360382942,5.835e-12,-1.961576961910184,3.191098884733151,462
0.156,0.158531760652726,+0.002531760652726,5.257e-12,-1.964997524676173,3.187839157365171,420
0.157,0.159440137628441,+0.002440137628441,3.967e-12,-1.968419879198642,3.184584483568811,378
0.158,0.160347499049755,+0.002347499049755,4.297e-12,-1.971844339672736,3.181334676309701,420
0.159,0.161253852794417,+0.002253852794417,3.711e-12,-1.975271222089384,3.178089545952861,420
0.160,0.162159206885484,+0.002159206885484,2.982e-12,-1.978700844435679,3.174848907619548,420
0.161,0.163063569494652,+0.002063569494652,2.405e-12,-1.982133526895560,3.171612580959024,420
0.162,0.163966948947562,+0.001966948947562,2.912e-12,-1.985569592061726,3.168380385794013,420
0.163,0.164869353727557,+0.001869353727557,3.543e-12,-1.989009365149192,3.165152122193118,420
0.164,0.165770792480842,+0.001770792480842,4.174e-12,-1.992453174209335,3.161927679905555,420
0.165,0.166671274020510,+0.001671274020510,4.773e-12,-1.995901350358533,3.158706822098578,420
0.166,0.167570807330795,+0.001570807330795,5.404e-12,-1.999354228008150,3.155489400921801,420
0.167,0.168469401571183,+0.001469401571183,6.129e-12,-2.002812145097133,3.152275246531302,420
0.168,0.169367066080240,+0.001367066080240,7.056e-12,-2.006275443341165,3.149064195234006,420
0.169,0.170263810379342,+0.001263810379342,8.264e-12,-2.009744468479679,3.145856082021687,420
0.170,0.171159644176084,+0.001159644176084,9.529e-12,-2.013219570539780,3.142650754390350,420
0.171,0.172054577367501,+0.001054577367501,1.078e-11,-2.016701104101837,3.139448034269975,420
0.172,0.172948620042977,+0.000948620042977,1.198e-11,-2.020189428576453,3.136247776733153,420
0.173,0.173841782486769,+0.000841782486769,1.310e-11,-2.023684908497344,3.133049830479645,420
0.174,0.174734075180255,+0.000734075180255,1.415e-11,-2.027187913815871,3.129854082088215,462
0.175,0.175625508803735,+0.000625508803735,1.513e-11,-2.030698820212494,3.126660274437115,462
0.176,0.176516094237774,+0.000516094237774,1.605e-11,-2.034218009421020,3.123468325571587,462
0.177,0.177405842564082,+0.000405842564082,1.694e-11,-2.037745869564324,3.120278156482047,462
0.178,0.178294765065862,+0.000294765065862,1.784e-11,-2.041282795503936,3.117089542849914,462
0.179,0.179182873227547,+0.000182873227547,1.875e-11,-2.044829189207874,3.113902370921430,462
0.180,0.180070178733918,+0.000070178733918,1.969e-11,-2.048385460133153,3.110716499270993,462
0.181,0.180956693468590,-0.000043306531410,2.069e-11,-2.051952025621571,3.107531796104049,462
0.182,0.181842429511651,-0.000157570488349,2.180e-11,-2.055529311323429,3.104348139210351,462
0.183,0.182727399136598,-0.000272600863402,2.293e-11,-2.059117751633716,3.101165395893612,462
0.184,0.183611614806374,-0.000388385193626,2.407e-11,-2.062717790152912,3.097983446624844,462
0.185,0.184495089168503,-0.000504910831497,2.519e-11,-2.066329880171261,3.094802169663899,462
0.186,0.185377835049255,-0.000622164950745,2.629e-11,-2.069954485176311,3.091621451256457,462
0.187,0.186259865446765,-0.000740134553235,2.736e-11,-2.073592079389173,3.088441177962653,462
0.188,0.187141193523053,-0.000858806476947,2.842e-11,-2.077243148328763,3.085261243071332,462
0.189,0.188021832594925,-0.000978167405075,2.947e-11,-2.080908189404114,3.082081542270468,462
0.190,0.188901796123548,-0.001098203876452,3.051e-11,-2.084587712548979,3.078901977314291,462
0.191,0.189781097702908,-0.001218902297092,3.154e-11,-2.088282240877529,3.075722451080394,462
0.192,0.190659751046737,-0.001340248953263,3.258e-11,-2.091992311396012,3.072542882154989,462
0.193,0.191537769974207,-0.001462230025793,3.363e-11,-2.095718475741086,3.069363181024150,462
0.194,0.192415168394071,-0.001584831605929,3.468e-11,-2.099461300972637,3.066183269530221,462
0.195,0.193291960287334,-0.001708039712666,3.574e-11,-2.103221370411647,3.063003082812021,462
0.196,0.194168159688364,-0.001831840311636,3.681e-11,-2.106999284532828,3.059822550783356,462
0.197,0.195043780664435,-0.001956219335565,3.788e-11,-2.110795661911221,3.056641620482209,462
0.198,0.195918837293595,-0.002081162706405,3.894e-11,-2.114611140235219,3.053460239559497,462
0.199,0.196793343640915,-0.002206656359085,1.273e-10,-2.118446377384027,3.050278371912398,420
0.200,0.197667313733046,-0.002332686266954,5.169e-11,-2.122302052578652,3.047095984993299,420
